epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.574647843837738,0.0010000000474974513,1.4785791635513306,0.7915441393852234,0.6565362215042114
1,0.79988032579422,0.0010000000474974513,0.6414958834648132,0.878125011920929,0.37885621190071106
2,0.8557683229446411,0.0010000000474974513,0.455465704202652,0.8762867450714111,0.38872280716896057
3,0.8812034130096436,0.0010000000474974513,0.37158092856407166,0.8977941274642944,0.3161837160587311
4,0.8980066180229187,0.0010000000474974513,0.3167661428451538,0.9196690917015076,0.26439550518989563
5,0.9149479866027832,0.0010000000474974513,0.26362448930740356,0.9354779124259949,0.21531248092651367
6,0.9202421307563782,0.0010000000474974513,0.2457348108291626,0.9308823347091675,0.2238169014453888
7,0.928459644317627,0.0010000000474974513,0.2185925841331482,0.9380514621734619,0.20103614032268524
8,0.9318893551826477,0.0010000000474974513,0.20557016134262085,0.9420955777168274,0.18151210248470306
9,0.9392321109771729,0.0010000000474974513,0.18905019760131836,0.953125,0.1511458158493042
10,0.9392551183700562,0.0010000000474974513,0.18345484137535095,0.9568014740943909,0.14432695508003235
11,0.9445723295211792,0.0010000000474974513,0.17174997925758362,0.9498161673545837,0.17654983699321747
12,0.9483933448791504,0.0010000000474974513,0.16077657043933868,0.9362132549285889,0.23741598427295685
13,0.9663705229759216,0.0005000000237487257,0.10153511166572571,0.9659926295280457,0.1159309521317482
14,0.9677055478096008,0.0005000000237487257,0.09385945647954941,0.9709559082984924,0.10596940666437149
